date,price
2020-01-01,129.72
2020-01-02,132.84
2020-01-03,136.14
2020-01-04,141.01
2020-01-05,142.45
2020-01-06,142.63
2020-01-07,149.83
2020-01-08,151.66
2020-01-09,154.95
2020-01-10,158.91
2020-01-11,162.38
2020-01-12,167.88
2020-01-13,169.84
2020-01-14,171.65
2020-01-15,172.61
2020-01-16,175.02
2020-01-17,181.58
2020-01-18,187.71
2020-01-19,187.39
2020-01-20,190.15
2020-01-21,195.18
2020-01-22,192.53
2020-01-23,199.06
2020-01-24,204.68
2020-01-25,209.07
2020-01-26,208.79
2020-01-27,213.93
2020-01-28,216.71
2020-01-29,221.66
2020-01-30,218.56
2020-01-31,227.38
2020-02-01,223.44
2020-02-02,222.71
2020-02-03,232.86
2020-02-04,234.91
2020-02-05,244.54
2020-02-06,246.98
2020-02-07,243.2
2020-02-08,254.1
2020-02-09,250.27
2020-02-10,256.94
2020-02-11,259.31
2020-02-12,264.09
2020-02-13,270.09
2020-02-14,272.59
2020-02-15,264.72
2020-02-16,259.17
2020-02-17,251.79
2020-02-18,241.04
2020-02-19,234.12
2020-02-20,228.38
2020-02-21,225.01
2020-02-22,215.85
2020-02-23,217.36
2020-02-24,200.83
2020-02-25,193.42
2020-02-26,192.19
2020-02-27,187.24
2020-02-28,178.01
2020-02-29,172.13
2020-03-01,166.83
2020-03-02,156.45
2020-03-03,146.8
2020-03-04,142.19
2020-03-05,138.62
2020-03-06,127.18
2020-03-07,123.4
2020-03-08,117.11
2020-03-09,109.48
2020-03-10,104.45
2020-03-11,97.51
2020-03-12,93.13
2020-03-13,93.04
2020-03-14,93.5
2020-03-15,95.74
2020-03-16,97.5
2020-03-17,102.36
2020-03-18,102.22
2020-03-19,105.17
2020-03-20,108.67
2020-03-21,108.46
2020-03-22,111.34
2020-03-23,110.87
2020-03-24,114.31
2020-03-25,117.37
2020-03-26,121.32
2020-03-27,124.94
2020-03-28,124.89
2020-03-29,127.61
2020-03-30,129.62
2020-03-31,133.62
2020-04-01,135.45
